V_sipm	I_sipm	V_led	I_led	R_rtd
30.0	7.97049e-05	0.796653	0.00284847	1096.146
30.0	0.000100472	0.805299	0.00346142	1096.155
30.0	0.000126859	0.814302	0.00420626	1096.141
30.0	0.000159809	0.823753	0.00511137	1096.165
30.0	0.00020039	0.833771	0.00621125	1096.16
30.0	0.000250673	0.844479	0.00754781	1096.162
30.0	0.0003128	0.85603	0.00917197	1096.159
30.0	0.000388773	0.868584	0.0111456	1096.156
30.0	0.000481769	0.882314	0.013544	1096.146
30.0	0.000593841	0.897458	0.0164584	1096.173
30.0	0.000729605	0.914135	0.02	1096.174
30.0	0.000730056	0.913926	0.02	1096.155
30.0	0.00059442	0.896972	0.0164584	1096.148
30.0	0.000481592	0.881724	0.013544	1096.138
30.0	0.000389326	0.86793	0.0111456	1096.161
30.0	0.000313554	0.855369	0.00917197	1096.151
30.0	0.000251638	0.843837	0.00754781	1096.167
30.0	0.000201058	0.833143	0.00621125	1096.158
30.0	0.000159992	0.823156	0.00511137	1096.16
30.0	0.000127222	0.813742	0.00420626	1096.155
30.0	0.00010085	0.804772	0.00346142	1096.162
30.0	7.9669e-05	0.796163	0.00284847	1096.182
30.0	6.28678e-05	0.787838	0.00234407	1096.167
30.0	4.97111e-05	0.779712	0.00192898	1096.185
30.0	3.93198e-05	0.771767	0.0015874	1096.155
30.0	3.1129e-05	0.763926	0.00130631	1096.16
30.0	2.47841e-05	0.756183	0.00107499	1096.187
30.0	1.99145e-05	0.748541	0.000884629	1096.149
30.0	1.60678e-05	0.74093	0.00072798	1096.156
30.0	1.31159e-05	0.733376	0.00059907	1096.178
30.0	1.08984e-05	0.725875	0.000492988	1096.162
30.0	9.26226e-06	0.718428	0.00040569	1096.164
30.0	7.8648e-06	0.711043	0.000333851	1096.141
30.0	6.88671e-06	0.703731	0.000274733	1096.174
30.0	6.14451e-06	0.696494	0.000226083	1096.167
30.0	5.56901e-06	0.689344	0.000186049	1096.159
30.0	5.11798e-06	0.682303	0.000153104	1096.182
30.0	4.83806e-06	0.675365	0.000125992	1096.172
30.0	4.49657e-06	0.668542	0.000103682	1096.17
30.0	4.3867e-06	0.661839	8.53217e-05	1096.168
30.0	4.21986e-06	0.655264	7.02131e-05	1096.174
30.0	4.10048e-06	0.648813	5.77798e-05	1096.161
30.0	4.01197e-06	0.642476	4.75482e-05	1096.155
30.0	3.95358e-06	0.636268	3.91284e-05	1096.175
30.0	3.89253e-06	0.630177	3.21996e-05	1096.163
30.0	3.83616e-06	0.624196	2.64977e-05	1096.161
30.0	3.82885e-06	0.618321	2.18056e-05	1096.151
30.0	3.79561e-06	0.612539	1.79443e-05	1096.156
30.0	3.77006e-06	0.606851	1.47667e-05	1096.17
30.0	3.75822e-06	0.601248	1.21518e-05	1096.18
30.0	3.72131e-06	0.595695	1e-05	1096.187
30.0	3.74315e-06	0.595695	1e-05	1096.169
30.0	3.76533e-06	0.601267	1.21518e-05	1096.169
30.0	3.75966e-06	0.606875	1.47667e-05	1096.138
30.0	3.81525e-06	0.612578	1.79443e-05	1096.19
30.0	3.79384e-06	0.61837	2.18056e-05	1096.168
30.0	3.8428e-06	0.624255	2.64977e-05	1096.162
30.0	3.87058e-06	0.630243	3.21996e-05	1096.163
30.0	3.90924e-06	0.636351	3.91284e-05	1096.163
30.0	3.99451e-06	0.642562	4.75482e-05	1096.172
30.0	4.08794e-06	0.648908	5.77798e-05	1096.177
30.0	4.18612e-06	0.65537	7.02131e-05	1096.165
