N	R	I
484	1087.32	9.7e-05
485	1087.34	9.7e-05
486	1087.33	9.7e-05
487	1087.32	9.7e-05
488	1087.34	9.7e-05
489	1087.32	9.7e-05
490	1087.32	9.7e-05
491	1087.32	9.7e-05
492	1087.33	9.7e-05
493	1087.34	9.7e-05
494	1087.3	9.7e-05
495	1087.31	9.7e-05
496	1087.33	9.7e-05
497	1087.33	9.7e-05
498	1087.34	9.7e-05
499	1087.33	9.7e-05
500	1087.33	9.7e-05
501	1087.31	9.7e-05
502	1087.34	9.7e-05
503	1087.35	9.7e-05
504	1087.34	9.7e-05
505	1087.36	9.7e-05
506	1087.33	9.7e-05
507	1087.32	9.7e-05
508	1087.33	9.7e-05
509	1087.33	9.7e-05
510	1087.33	9.7e-05
511	1087.34	9.7e-05
512	1087.34	9.7e-05
513	1087.33	9.7e-05
514	1087.31	9.7e-05
515	1087.33	9.7e-05
516	1087.33	9.7e-05
517	1087.33	9.7e-05
518	1087.35	9.7e-05
519	1087.33	9.7e-05
520	1087.35	9.7e-05
521	1087.33	9.7e-05
522	1087.33	9.7e-05
523	1087.32	9.7e-05
524	1087.33	9.7e-05
525	1087.35	9.7e-05
526	1087.34	9.7e-05
527	1087.34	9.7e-05
528	1087.33	9.7e-05
529	1087.36	9.7e-05
530	1087.32	9.7e-05
531	1087.34	9.7e-05
532	1087.34	9.7e-05
533	1087.36	9.7e-05
534	1087.35	9.7e-05
535	1087.36	9.7e-05
536	1087.36	9.7e-05
537	1087.34	9.7e-05
538	1087.35	9.7e-05
539	1087.35	9.7e-05
540	1087.36	9.7e-05
541	1087.35	9.7e-05
542	1087.32	9.7e-05
543	1087.36	9.7e-05
544	1087.37	9.7e-05
545	1087.34	9.7e-05
546	1087.35	9.7e-05
547	1087.35	9.7e-05
548	1087.36	9.7e-05
549	1087.35	9.7e-05
550	1087.36	9.7e-05
551	1087.35	9.7e-05
552	1087.35	9.7e-05
553	1087.34	9.7e-05
554	1087.36	9.7e-05
555	1087.32	9.7e-05
556	1087.34	9.7e-05
557	1087.35	9.7e-05
558	1087.32	9.7e-05
559	1087.35	9.7e-05
560	1087.33	9.7e-05
561	1087.32	9.7e-05
562	1087.32	9.7e-05
563	1087.34	9.7e-05
564	1087.33	9.7e-05
565	1087.31	9.7e-05
566	1087.34	9.7e-05
567	1087.36	9.7e-05
568	1087.31	9.7e-05
569	1087.34	9.7e-05
570	1087.33	9.7e-05
571	1087.33	9.7e-05
572	1087.36	9.7e-05
573	1087.36	9.7e-05
574	1087.31	9.7e-05
575	1087.34	9.7e-05
576	1087.35	9.7e-05
577	1087.34	9.7e-05
578	1087.35	9.7e-05
579	1087.32	9.7e-05
580	1087.34	9.7e-05
581	1087.35	9.7e-05
582	1087.33	9.7e-05
583	1087.32	9.7e-05
584	1087.32	9.7e-05
585	1087.34	9.7e-05
586	1087.34	9.7e-05
587	1087.33	9.7e-05
588	1087.34	9.7e-05
589	1087.33	9.7e-05
590	1087.32	9.7e-05
591	1087.36	9.7e-05
592	1087.34	9.7e-05
593	1087.33	9.7e-05
594	1087.34	9.7e-05
595	1087.33	9.7e-05
596	1087.37	9.7e-05
597	1087.37	9.7e-05
598	1087.37	9.7e-05
599	1087.36	9.7e-05
600	1087.33	9.7e-05
601	1087.34	9.7e-05
602	1087.35	9.7e-05
603	1087.35	9.7e-05
604	1087.35	9.7e-05
605	1087.36	9.7e-05
606	1087.36	9.7e-05
607	1087.36	9.7e-05
608	1087.34	9.7e-05
609	1087.36	9.7e-05
610	1087.37	9.7e-05
611	1087.33	9.7e-05
612	1087.34	9.7e-05
613	1087.37	9.7e-05
614	1087.35	9.7e-05
615	1087.36	9.7e-05
616	1087.32	9.7e-05
617	1087.33	9.7e-05
618	1087.35	9.7e-05
619	1087.33	9.7e-05
620	1087.35	9.7e-05
621	1087.33	9.7e-05
